"","GeneSet","Correlation","Metagenes"
"c2.1","c2.WEST_ADRENOCORTICAL_TUMOR_SIGNED",0.714095079232694,"1"
"c2.2","c2.SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_SIGNED",0.699082568807339,"1"
"c2.3","c2.LEE_EARLY_T_LYMPHOCYTE_SIGNED",0.698081734778982,"1"
"c2.4","c2.FOURNIER_ACINAR_DEVELOPMENT_LATE_2",0.698081734778982,"1"
"c2.5","c2.SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_SIGNED",0.696413678065054,"1"
"c2.6","c2.SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6",0.691075896580484,"1"
"c2.7","c2.ZHAN_MULTIPLE_MYELOMA_PR_SIGNED",0.689407839866556,"1"
"c2.8","c2.NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_SIGNED",0.676730608840701,"1"
"c2.9","c2.FARMER_BREAST_CANCER_CLUSTER_2/c2.FINETTI_BREAST_CANCER_KINOME_RED",0.676730608840701,"1"
"c2.10","c2.AMUNDSON_GAMMA_RADIATION_RESPONSE/c4.GNF2_CDC20/c4.GNF2_CDC2/c4.GNF2_CENPE/c4.GNF2_CENPF/c4.GNF2_CCNA2/c4.GNF2_CCNB2/c4.GNF2_H2AFX/c4.GNF2_HMMR/c4.GNF2_MKI67",0.67372810675563,"1"
"c2.11","c2.VECCHI_GASTRIC_CANCER_EARLY_SIGNED",0.671059216013345,"1"
"c2.12","c2.RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_SIGNED",0.669391159299416,"1"
"c2.13","c2.GRADE_COLON_AND_RECTAL_CANCER_SIGNED",0.661718098415346,"1"
"c2.14","c2.WHITEFORD_PEDIATRIC_CANCER_MARKERS/c2.CHANG_CYCLING_GENES/c4.MODULE_54/c4.MODULE_57",0.660050041701418,"1"
"c2.15","c2.BOYAULT_LIVER_CANCER_SUBCLASS_G3_SIGNED",0.65838198498749,"1"
"c2.16","c2.HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_SIGNED",0.647372810675563,"1"
"c2.17","c2.CHANG_CORE_SERUM_RESPONSE_SIGNED",0.647039199332777,"1"
"c2.18","c2.BOYAULT_LIVER_CANCER_SUBCLASS_G23_SIGNED",0.646371976647206,"1"
"c2.19","c2.EGUCHI_CELL_CYCLE_RB1_TARGETS/c2.ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER/c4.GNF2_BUB1/c4.GNF2_ESPL1/c4.GNF2_PCNA/c4.GNF2_RRM2/c4.GNF2_BUB1B/c4.GNF2_MCM4",0.64603836530442,"1"
"c2.20","c2.CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_SIGNED",0.644370308590492,"1"
"c2.21","c2.WU_APOPTOSIS_BY_CDKN1A_VIA_TP53",0.644036697247706,"1"
"c2.22","c2.REICHERT_MITOSIS_LIN9_TARGETS",0.643369474562135,"1"
"c2.23","c2.BENPORATH_CYCLING_GENES",0.640366972477064,"1"
"c2.24","c2.BERENJENO_TRANSFORMED_BY_RHOA_SIGNED",0.640033361134279,"1"
"c2.25","c2.RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_SIGNED",0.634361968306922,"1"
"c2.26","c2.WHITFIELD_CELL_CYCLE_G2",0.631693077564637,"1"
"c2.27","c2.BURTON_ADIPOGENESIS_PEAK_AT_24HR",0.629357798165138,"1"
"c2.28","c2.GREENBAUM_E2A_TARGETS_SIGNED",0.629024186822352,"1"
"c2.29","c2.ZHENG_GLIOBLASTOMA_PLASTICITY_SIGNED",0.628690575479566,"1"
"c2.30","c2.GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_SIGNED/c2.MARSON_BOUND_BY_E2F4_UNSTIMULATED",0.626355296080067,"1"
