0.442,0.885,3
0.419,0.915,3
0.451,0.886,3
0.450,0.925,3
0.433,0.928,3
0.429,0.917,3
0.462,0.930,3
0.499,0.906,3
0.422,0.873,3
0.452,0.949,3
0.469,0.878,3
0.480,0.902,3
0.435,0.835,3
0.425,0.893,3
0.447,0.882,3
0.432,0.889,3
0.480,0.888,3
0.469,0.938,3
0.470,0.952,3
0.453,0.836,3
0.493,0.903,3
0.435,0.813,3
0.476,0.928,3
0.496,0.829,3
0.407,0.883,3
0.515,0.884,3
0.476,0.891,3
0.435,0.862,3
0.443,0.856,3
0.473,0.852,3
0.428,0.815,3
0.402,0.846,3
0.481,0.869,3
0.463,0.843,3
0.377,0.796,3
0.499,0.831,3
0.415,0.822,3
0.470,0.860,3
0.412,0.887,3
0.454,0.904,3
0.420,0.835,3
0.369,0.909,3
0.461,0.876,3
0.393,0.827,3
0.406,0.892,3
0.460,0.825,3
0.446,0.885,3
0.446,0.805,3
0.402,0.883,3
0.444,0.836,3
0.393,0.837,3
0.386,0.819,3
0.431,0.832,3
0.437,0.791,3
0.448,0.905,3
0.368,0.747,3
0.373,0.833,3
0.449,0.752,3
0.449,0.830,3
0.457,0.805,3
0.403,0.742,3
0.383,0.815,3
0.327,0.793,3
0.363,0.836,3
0.457,0.816,3
0.435,0.790,3
0.324,0.799,3
0.355,0.800,3
0.376,0.785,3
0.423,0.765,3
0.361,0.784,3
0.379,0.812,3
0.383,0.805,3
0.389,0.804,3
0.390,0.804,3
0.348,0.797,3
0.397,0.803,3
0.387,0.773,3
0.343,0.764,3
0.375,0.796,3
0.346,0.743,3
0.387,0.834,3
0.383,0.729,3
0.358,0.770,3
0.377,0.756,3
0.440,0.722,3
0.358,0.788,3
0.319,0.670,3
0.354,0.771,3
0.404,0.758,3
0.250,0.740,3
0.332,0.653,3
0.321,0.711,3
0.302,0.733,3
0.321,0.726,3
0.348,0.717,3
0.324,0.656,3
0.282,0.742,3
0.387,0.727,3
0.314,0.724,3
0.329,0.637,3
0.317,0.644,3
0.334,0.585,3
0.310,0.690,3
0.304,0.596,3
0.321,0.711,3
0.306,0.643,3
0.298,0.655,3
0.312,0.652,3
0.331,0.625,3
0.327,0.586,3
0.342,0.570,3
0.319,0.566,3
0.313,0.599,3
0.291,0.671,3
0.333,0.642,3
0.305,0.697,3
0.287,0.671,3
0.303,0.659,3
0.282,0.668,3
0.272,0.661,3
0.285,0.568,3
0.248,0.585,3
0.279,0.545,3
0.251,0.596,3
0.335,0.609,3
0.253,0.608,3
0.299,0.603,3
0.258,0.610,3
0.298,0.543,3
0.283,0.529,3
0.332,0.567,3
0.237,0.608,3
0.295,0.555,3
0.262,0.572,3
0.262,0.581,3
0.274,0.567,3
0.288,0.561,3
0.306,0.565,3
0.225,0.591,3
0.289,0.559,3
0.343,0.594,3
0.274,0.535,3
0.288,0.558,3
0.286,0.542,3
0.268,0.565,3
